Season,Player,Team,Pos,name
2017,Derek Barnett,PHI,DE,D.Barnett
2017,Destiny Vaeao,PHI,DT,D.Vaeao
2017,Dexter McDougle,PHI,CB,D.McDougle
2017,Donnie Jones,PHI,P,D.Jones
2017,Elijah Qualls,PHI,DT,E.Qualls
2017,Fletcher Cox,PHI,DT,F.Cox
2017,Jake Elliott,PHI,K,J.Elliott
2017,Jalen Mills,PHI,CB,J.Mills
2017,Jaylen Watkins,PHI,CB,J.Watkins
2017,Joe Walker,PHI,ILB,J.Walker
2017,Jordan Hicks,PHI,MLB,J.Hicks
2017,Justin Hamilton,PHI,DT,J.Hamilton
2017,Kamu Grugier-Hill,PHI,OLB,K.Grugier-Hill
2017,Kenjon Barner,PHI,RB,K.Barner
2017,LeGarrette Blount,PHI,RB,L.Blount
2017,Mack Hollins,PHI,WR,M.Hollins
2017,Malcolm Jenkins,PHI,SS,M.Jenkins
2017,Marcus Johnson,PHI,WR,M.Johnson
2017,Mychal Kendricks,PHI,OLB,M.Kendricks
2017,Najee Goode,PHI,OLB,N.Goode
2017,Nate Gerry,PHI,LB,N.Gerry
2017,Nelson Agholor,PHI,WR,N.Agholor
2017,Nigel Bradham,PHI,OLB,N.Bradham
2017,Patrick Robinson,PHI,CB,P.Robinson
2017,Rasul Douglas,PHI,CB,R.Douglas
2017,Rodney McLeod,PHI,FS,R.McLeod
2017,Ronald Darby,PHI,CB,R.Darby
2017,Steven Means,PHI,DE,S.Means
2017,Taylor Hart,PHI,DE,T.Hart
2017,Timmy Jernigan,PHI,DT,T.Jernigan
2017,Torrey Smith,PHI,WR,T.Smith
2017,Trey Burton,PHI,TE,T.Burton
2017,Vinny Curry,PHI,DE,V.Curry
2017,Wendell Smallwood,PHI,RB,W.Smallwood
2017,Zach Ertz,PHI,TE,Z.Ertz
2017,Amari Cooper,OAK,WR,A.Cooper
2017,Antonio Hamilton,OAK,DB,A.Hamilton
2017,Bruce Irvin,OAK,OLB,B.Irvin
2017,Clive Walford,OAK,TE,C.Walford
2017,Cordarrelle Patterson,OAK,WR,C.Patterson
2017,Cory James,OAK,OLB,C.James
2017,Darius Latham,OAK,DT,D.Latham
2017,David Amerson,OAK,CB,D.Amerson
2017,DeAndre Washington,OAK,RB,D.Washington
2017,Demetrius McCray,OAK,DB,D.McCray
2017,Denico Autry,OAK,DE,D.Autry
2017,Derek Carr,OAK,QB,D.Carr
2017,Dexter McDonald,OAK,CB,D.McDonald
2017,Eddie Vanderdoes,OAK,DT,E.Vanderdoes
2017,EJ Manuel,OAK,QB,E.Manuel
2017,Erik Harris,OAK,DB,E.Harris
2017,Gareon Conley,OAK,CB,G.Conley
2017,Giorgio Tavecchio,OAK,K,G.Tavecchio
2017,Jalen Richard,OAK,RB,J.Richard
2017,James Cowser,OAK,DE,J.Cowser
2017,Jamize Olawale,OAK,FB,J.Olawale
2017,Jared Cook,OAK,TE,J.Cook
2017,Jihad Ward,OAK,DE,J.Ward
2017,Johnny Holton,OAK,WR,J.Holton
2017,Justin Ellis,OAK,DT,J.Ellis
2017,Karl Joseph,OAK,SS,K.Joseph
2017,Keith McGill,OAK,SS,K.McGill
